customer_state,boleto,credit_card,debit_card,voucher
AC,3624510.381,13562873.9635,324220.107,739218.5055000001
AL,12744218.657,73861155.4925,1137042.382,1581864.3565
AM,4128673.4820000003,21469979.3795,140975.747,195503.927
AP,3548374.946,11312761.197,0.0,220171.437
BA,87904322.568,458674571.1505,6540998.3105,14108637.9855
CE,36228420.7835,212010682.812,2849922.7465,6246787.2495
DF,48040467.2205,269951724.1025,1540708.5635,7560174.5075
ES,60802936.1255,229260978.5805,4265643.0770000005,6167916.132
GO,62997556.268,244196089.433,3274417.2090000003,6801370.37
MA,37500754.257,100928044.515,379619.99600000004,2184938.6085
MG,314212915.5005,1353658832.0485,20573194.835500002,33065165.019
MS,25591883.2065,98488112.477,1385340.3445000001,1742240.2655
MT,36051352.5745,133869065.1895,778028.1030000001,2172577.0330000003
PA,41080260.3425,153870966.0575,3150931.2830000003,3890019.9595000003
PB,24505103.1945,98837120.6495,5031838.194,2378272.5365
PE,43926612.7915,247594650.9865,2591572.31,6006455.2235
PI,16158285.502500001,80933154.413,1142458.1060000001,1859744.784
PR,144096873.254,573687021.9955,9776346.264,16470450.059500001
RJ,301586711.4045,1593165377.446,30067478.3235,47138489.5165
RN,15273686.3375,75525034.683,1388919.9155,3068016.9195
RO,13609825.694,39952213.2555,696402.756,636134.2795
RR,2541986.9055,6684190.424000001,0.0,0.0
RS,176100537.822,610830542.4855,11175365.021,19520059.0815
SC,105937051.352,444560610.176,7044669.916,11579281.587000001
SE,13527829.407,52144714.303500004,1500016.4455,2549748.8249999997
SP,1000626637.514,4299100103.035,82050917.1885,128849876.0495
TO,12321959.108000001,42295283.586,831508.3775,1337303.6145000001
