customer_state,total_ingresos_usd,total_ingresos_clp,transacciones
AC,19680.62,18250822.957000002,84
AL,96322.08,89324280.888,426
AM,27966.93,25935132.5355,154
AP,16262.8,15081307.58,70
BA,611666.07,567228530.0145,3592
CE,277495.89,257335813.5915,1391
DF,352718.04,327093074.394,2197
ES,324038.9,300497473.915,2097
GO,342124.8,317269433.28000003,2097
MA,152038.99,140993357.3765,763
MG,1856375.81,1721510107.4035,12036
MS,137173.21,127207576.2935,734
MT,186414.0,172871022.9,954
PA,217816.55,201992177.6425,1007
PB,140995.67,130752334.57450001,568
PE,323631.09,300119291.3115,1723
PI,107935.13,100093642.8055,519
PR,802319.18,744030691.5730001,5238
RJ,2126444.23,1971958056.6905,13435
RN,102718.13,95255657.8555,522
RO,59195.1,54894575.985,258
RR,9948.97,9226177.3295,45
RS,881680.6,817626504.41,5642
SC,613707.46,569121613.031,3735
SE,75184.46,69722308.981,360
SP,5942338.42,5510627533.787,43267
TO,61234.76,56786054.686000004,300
